EC_Setpoint: 0.3300, EC_Read: -0.4168, IR_Temp: 1738.3694, VA_Temp: 0.0000
V0_Set: 5.0042, V0_Read 4.9992, Pulse_Bool: 1.0000, Rise_Threshold: 0.0000
Cathode Voltage: 0.0000, Cathode Current: 0.0000, Cathode Impedance: 0.0000, Cathode Power: 0.0000
Cu Gun Pf: 2151.0315, Cu Gun Pr: 375.0000, Cu Gun Pt: 6.2074, Cu Gun V: 127.5979
BH Pf: 99.9769, BH Pr: 4.8364, BH Pt: -4.2167, Pulse Frequency: 0.0000
SRF Pf: 42.5366, SRF Pr: 37.9169, SRF Pt: -36.8182, Pulse Duty: 0.0000
WF6H (A), WF7H(A), WF6V(A), WF7V(A), Avg'd Emitted Current(mA), Avg'd Loop Mid(mA), Avg'd Loop Bypass(mA), Cu Gun (kV), SRF Pt (dBm)
0.0, 0.0, 0.0, 0.0, -0.3674069877306465, 0.00027466239407658577, 0.00017700465396046637, 127.5045394897461, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.38769520639558325, 0.0002624551765620708, 0.00016479743644595146, 127.45787811279297, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.35986285867285916, 0.00028076600283384324, 0.00018921187147498132, 127.5045394897461, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.3300039758812636, 0.00031128404662013055, 0.00015259021893143654, 127.41123962402344, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.39245600180001927, 0.00019531548023223876, 0.00015259021893143654, 127.59790802001953, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.39633802040712907, 0.0003295948728919029, 0.0001281757839024067, 127.45787811279297, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.38552246235194615, 0.0003051804378628731, 0.000158693827688694, 127.5045394897461, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.4173343851114623, 0.00023193713277578354, 0.00010376134887337684, 127.5045394897461, -36.818180084228516
0.0, 0.0, 0.0, 0.0, -0.3593257467751391, 0.0002563515678048134, 0.00015259021893143654, 127.36461639404297, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.393847682394553, 0.0002685587853193283, 0.000158693827688694, 127.55121612548828, -37.727272033691406
0.0, 0.0, 0.0, 0.0, -0.39399415807100013, 0.0002868696115911007, 0.00014038300141692162, 127.45787811279297, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.36098589397384784, 0.00028076600283384324, 0.00014038300141692162, 127.45787811279297, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.383984231967479, 0.000317387655377388, 0.00017090104520320893, 127.5045394897461, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.3957520379917696, 0.0003051804378628731, 0.00016479743644595146, 127.45787811279297, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.3486077786097303, 0.00019531548023223876, 0.00014648661017417907, 127.55121612548828, -37.727272033691406
0.0, 0.0, 0.0, 0.0, -0.39130866263411007, 0.0002563515678048134, 0.00016479743644595146, 127.41123962402344, -36.818180084228516
0.0, 0.0, 0.0, 0.0, -0.3674313574668486, 0.0002624551765620708, 0.0001281757839024067, 127.41123962402344, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.3455315293406602, 0.00035400930792093275, 0.00017700465396046637, 127.31800842285156, -37.727272033691406
0.0, 0.0, 0.0, 0.0, -0.37202126199379565, 0.00032349126413464544, 0.00015259021893143654, 127.36461639404297, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.4188236266525928, 0.0002990768291056156, 0.00014038300141692162, 127.45787811279297, -37.727272033691406
0.0, 0.0, 0.0, 0.0, -0.3542720286746044, 0.0002990768291056156, 0.00014038300141692162, 127.5045394897461, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.4859633031208068, 0.00035400930792093275, 0.0001281757839024067, 127.45787811279297, -37.727272033691406
0.0, 0.0, 0.0, 0.0, -0.38115221105748787, 0.00032349126413464544, 0.00015259021893143654, 127.41123962402344, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.4019289601512719, 0.0002868696115911007, 0.00017090104520320893, 127.5045394897461, -37.727272033691406
0.0, 0.0, 0.0, 0.0, -0.4085207669227384, 0.00025024795904755593, 0.00015259021893143654, 127.41123962402344, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.38349596157786436, 0.000317387655377388, 0.00014038300141692162, 127.45787811279297, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.37311993304174396, 0.0002868696115911007, 0.00018921187147498132, 127.36461639404297, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.5068132979562506, 0.00022583352401852607, 0.00017700465396046637, 127.5045394897461, -37.727272033691406
0.0, 0.0, 0.0, 0.0, -0.3767087400495075, 0.00017090104520320893, 0.00018921187147498132, 127.5045394897461, -36.818180084228516
0.0, 0.0, 0.0, 0.0, -0.37687969344900923, 0.00024414435029029846, 0.00015259021893143654, 127.5045394897461, -36.818180084228516
0.0, 0.0, 0.0, 0.0, -0.40000009373645296, 0.0003051804378628731, 0.00016479743644595146, 127.31800842285156, -37.727272033691406
0.0, 0.0, 0.0, 0.0, -0.3988282083510421, 0.00021972991526126863, 0.00015259021893143654, 127.5045394897461, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.439258575248532, 0.0002624551765620708, 0.000158693827688694, 127.45787811279297, -36.818180084228516
0.0, 0.0, 0.0, 0.0, -0.37016573815839365, 0.00029297322034835813, 0.00017700465396046637, 127.41123962402344, -36.818180084228516
0.0, 0.0, 0.0, 0.0, -0.3867430944298394, 0.00025024795904755593, 0.00015259021893143654, 127.5045394897461, -37.727272033691406
0.0, 0.0, 0.0, 0.0, -0.4773695374140516, 0.0002685587853193283, 0.00014648661017417907, 127.55121612548828, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.40786160798859783, 0.0002624551765620708, 0.00014038300141692162, 127.5045394897461, -37.272727966308594
