EC_Setpoint: 0.7500, EC_Read: 0.4442, IR_Temp: 1644.3750, VA_Temp: 1525.3707
V0_Set: 3.5018, V0_Read 3.5007, Pulse_Bool: 0.0000, Rise_Threshold: 0.0500
Cathode Voltage: 2.5346, Cathode Current: 1.6997, Cathode Impedance: 1.4915, Cathode Power: 4.3084
Cu Gun Pf: 2123.7163, Cu Gun Pr: 585.6336, Cu Gun Pt: 5.2219, Cu Gun V: 119.9337
BH Pf: 99.6923, BH Pr: 3.6102, BH Pt: 1.4102, Pulse Frequency: 0.0000
SRF Pf: 39.5880, SRF Pr: 40.6453, SRF Pt: -40.0000, Pulse Duty: 0.0000
Raw DP1(Amps), Raw Collection(mA), Percent Collection , Conversion to mms
0.5006778836250305, 0.00013733119703829288, 0.018310826271772385, 0.0, 
0.49968107289606983, 0.00012207217514514923, 0.016276290019353233, 0.09900990099009764, 
0.49868426216710915, 0.00013733119703829288, 0.018310826271772385, 0.19801980198019528, 
0.4976874514381484, -7.629510946571827e-05, 0.010172681262095768, 0.29702970297029846, 
0.4966906407091877, -0.010528725106269121, 1.4038300141692162, 0.3960396039603961, 
0.49569382998022704, -0.027130540926009417, 3.6174054568012557, 0.49504950495049377, 
0.49469701925126636, -0.04043640810996294, 5.391521081328392, 0.5940594059405914, 
0.4937002085223056, -0.05323872771114111, 7.098497028152148, 0.6930693069306946, 
0.49270339779334493, -0.06825360525399446, 9.100480700532595, 0.7920792079207922, 
0.49170658706438425, -0.0780193790793419, 10.402583877245586, 0.8910891089108898, 
0.49070977633542356, -0.08709849677979946, 11.613132903973261, 0.9900990099009875, 
0.4897129656064628, -0.096086061373353, 12.8114748497804, 1.0891089108910905, 
0.48871615487750214, -0.10165560469031334, 13.554080625375112, 1.1881188118811883, 
0.48771934414854146, -0.10960555374622345, 14.614073832829794, 1.287128712871286, 
0.48672253341958077, -0.11752498708665371, 15.669998278220495, 1.3861386138613834, 
0.48572572269062003, -0.12416266240179538, 16.55502165357272, 1.4851485148514867, 
0.48472891196165935, -0.13063248693943025, 17.417664925257366, 1.5841584158415845, 
0.48373210123269866, -0.13763637691736222, 18.35151692231496, 1.683168316831682, 
0.482735290503738, -0.14215304777026178, 18.95373970270157, 1.7821782178217795, 
0.48173847977477724, -0.14789043813943864, 19.718725085258484, 1.8811881188118829, 
0.48074166904581656, -0.15158312395215034, 20.21108319362005, 1.9801980198019806, 
0.47974485831685587, -0.1536278322339058, 20.483710964520775, 2.079207920792078, 
0.4787480475878952, -0.16098268032073976, 21.464357376098633, 2.1782178217821757, 
0.47775123685893445, -0.16459906846284866, 21.946542461713157, 2.277227722772279, 
0.47675442612997376, -0.16623178645968437, 22.164238194624584, 2.3762376237623766, 
0.4757576154010131, -0.1719386585056782, 22.92515446742376, 2.475247524752474, 
0.4747608046720524, -0.17615014985203742, 23.486686646938324, 2.574257425742572, 
0.47376399394309165, -0.1806057833135128, 24.080771108468372, 2.673267326732675, 
0.47276718321413097, -0.1853513389825821, 24.71351186434428, 2.7722772277227725, 
0.4717703724851703, -0.18991378471255302, 25.321837961673737, 2.8712871287128703, 
0.4707735617562096, -0.1900206007063389, 25.33608009417852, 2.970297029702968, 
0.46977675102724886, -0.194262608140707, 25.9016810854276, 3.069306930693071, 
0.4687799402982882, -0.19890135005116463, 26.520180006821953, 3.168316831683169, 
0.4677831295693275, -0.2022583357989788, 26.96777810653051, 3.2673267326732662, 
0.4667863188403668, -0.20379949733614922, 27.17326631148656, 3.366336633663364, 
0.46578950811140607, -0.20607309117913247, 27.476412157217663, 3.4653465346534675, 
0.4647926973824454, -0.2074921801686287, 27.665624022483826, 3.564356435643565, 
0.4637958866534847, -0.20666819289326668, 27.55575905243556, 3.6633663366336626, 
0.462799075924524, -0.21460288465023042, 28.613717953364056, 3.7623762376237604, 
0.4618022651955633, -0.21716639921069145, 28.955519894758858, 3.861386138613863, 
0.4608054544666026, -0.2184634178876877, 29.12845571835836, 3.9603960396039612, 
0.4598086437376419, -0.2186923012137413, 29.158973495165508, 4.059405940594059, 
0.4588118330086812, -0.22220187783241271, 29.626917044321694, 4.158415841584156, 
0.4578150222797205, -0.2267795830965042, 30.237277746200558, 4.257425742574259, 
0.4568182115507598, -0.22543679028749466, 30.05823870499929, 4.356435643564357, 
0.4558214008217991, -0.22700846791267396, 30.26779572168986, 4.455445544554454, 
0.45482459009283843, -0.23198291063308715, 30.931054751078285, 4.554455445544552, 
0.4538277793638777, -0.233920805901289, 31.189440786838535, 4.653465346534656, 
0.452830968634917, -0.23823910877108573, 31.76521450281143, 4.752475247524753, 
0.4518341579059563, -0.24055847972631456, 32.074463963508606, 4.8514851485148505, 
0.45083734717699564, -0.24048218354582787, 32.06429113944372, 4.950495049504948, 
0.4498405364480349, -0.23939879313111306, 31.91983908414841, 5.049504950495052, 
0.4488437257190742, -0.23744563907384872, 31.65941854317983, 5.1485148514851495, 
0.44784691499011353, -0.23504997193813323, 31.339996258417763, 5.247524752475247, 
0.44685010426115285, -0.23085374236106873, 30.78049898147583, 5.346534653465344, 
0.44585329353219216, -0.22554360404610635, 30.072480539480846, 5.445544554455442, 
0.4448564828032314, -0.21649500206112862, 28.86600027481715, 5.544554455445545, 
0.44385967207427074, -0.20817883759737016, 27.75717834631602, 5.643564356435643, 
0.44286286134531005, -0.20199893042445183, 26.933190723260243, 5.742574257425741, 
0.4418660506163493, -0.19108873307704927, 25.47849774360657, 5.841584158415843, 
0.44086923988738863, -0.18193331733345985, 24.25777564446131, 5.940594059405941, 
