YYMMDD_HHMMSS.ssssss, StsCarrier, StsOverdrive, StsVSWR, StsVolatge, StsRfIn, StsTemp, StsAGC, MeasuredFWD, MeasuredRFL, MeasuredVolts, MeasuredRfIn, measuredtemp, AGCSetPt, Attenuation, VSWRTripPt, StsCarrierPA1, StsOverdrivePA1, StsVSWRPA1, StsVolatgePA1, StsRfInPA1, StsTempPA1, StsCarrierPA2, StsOverdrivePA2, StsVSWRPA2, StsVolatgePA2, StsRfInPA2, StsTempPA2, MeasuredFWDPA1, MeasuredFWDPA2, MeasuredRFLPA1, MeasuredRFLPA2, MeasuredVoltsPA1, MeasuredVoltsPA2, MeasuredRfInPA1, MeasuredRfInPA2, measuredtempPA1, measuredtempPA2, MeasuredFnl1PA1, MeasuredFnl1PA2, MeasuredFnl2PA1, MeasuredFnl2PA2, MeasuredFnl3PA1, MeasuredFnl3PA2, MeasuredDrv1PA1, MeasuredDrv1PA2, CurrentDrv1, CurrentFnl1, CurrentFnl2, CurrentFnl3, MeasuredFWDWatts, 
201123_155422.080475, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 68.5, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 249.0, 1.0, 0.0, 0.0, 50.0, 50.0, 52.0, 42.0, 28.0, 25.0, 35.5, 31.3, 35.4, 32.0, 34.9, 31.0, 1.7, 1.3, nan, nan, nan, nan, 3425.0, 786.2 ms
201123_155424.391410, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 68.3, 0.0, 24.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 248.0, 1.0, 0.0, 0.0, 49.0, 50.0, 51.0, 43.0, 28.0, 25.0, 35.5, 31.3, 35.4, 32.0, 34.9, 31.0, 1.7, 1.3, nan, nan, nan, nan, 3415.0, 692.1 ms
201123_155426.595998, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 68.3, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 248.0, 1.0, 0.0, 0.0, 49.0, 50.0, 51.0, 42.0, 28.0, 25.0, 35.5, 31.3, 35.4, 32.0, 34.7, 31.2, 1.7, 1.3, nan, nan, nan, nan, 3415.0, 889.5 ms
201123_155428.827666, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 68.5, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 248.0, 1.0, 0.0, 0.0, 50.0, 50.0, 51.0, 41.0, 28.0, 25.0, 35.7, 31.5, 35.5, 32.0, 34.9, 31.2, 1.7, 1.3, nan, nan, nan, nan, 3425.0, 919.5 ms
201123_155430.963931, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 68.7, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 248.0, 1.0, 0.0, 0.0, 50.0, 50.0, 51.0, 42.0, 28.0, 25.0, 35.7, 31.3, 35.4, 32.0, 34.9, 31.0, 1.7, 1.3, nan, nan, nan, nan, 3435.0, 782.4 ms
201123_155433.206780, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 68.3, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 248.0, 1.0, 0.0, 0.0, 50.0, 49.0, 51.0, 42.0, 28.0, 25.0, 35.7, 31.3, 35.4, 32.0, 34.9, 31.0, 1.7, 1.3, nan, nan, nan, nan, 3415.0, 938.6 ms
201123_155435.367908, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 68.3, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 248.0, 1.0, 0.0, 0.0, 50.0, 50.0, 52.0, 42.0, 28.0, 25.0, 35.5, 31.3, 35.4, 32.0, 34.7, 31.0, 1.7, 1.3, nan, nan, nan, nan, 3415.0, 811.1 ms
