YYMMDD_HHMMSS.ssssss, StsCarrier, StsOverdrive, StsVSWR, StsVolatge, StsRfIn, StsTemp, StsAGC, MeasuredFWD, MeasuredRFL, MeasuredVolts, MeasuredRfIn, measuredtemp, AGCSetPt, Attenuation, VSWRTripPt, StsCarrierPA1, StsOverdrivePA1, StsVSWRPA1, StsVolatgePA1, StsRfInPA1, StsTempPA1, StsCarrierPA2, StsOverdrivePA2, StsVSWRPA2, StsVolatgePA2, StsRfInPA2, StsTempPA2, MeasuredFWDPA1, MeasuredFWDPA2, MeasuredRFLPA1, MeasuredRFLPA2, MeasuredVoltsPA1, MeasuredVoltsPA2, MeasuredRfInPA1, MeasuredRfInPA2, measuredtempPA1, measuredtempPA2, MeasuredFnl1PA1, MeasuredFnl1PA2, MeasuredFnl2PA1, MeasuredFnl2PA2, MeasuredFnl3PA1, MeasuredFnl3PA2, MeasuredDrv1PA1, MeasuredDrv1PA2, CurrentDrv1, CurrentFnl1, CurrentFnl2, CurrentFnl3, MeasuredFWDWatts, 
201123_101341.412305, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 71.2, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 250.0, 5.0, 0.0, 0.0, 50.0, 50.0, 51.0, 40.0, 28.0, 26.0, 35.7, 32.7, 35.5, 33.4, 34.9, 32.2, 1.7, 1.5, nan, nan, nan, nan, 3560.0, 572.1 ms
201123_101342.375455, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 71.2, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 250.0, 5.0, 0.0, 0.0, 50.0, 50.0, 52.0, 42.0, 28.0, 26.0, 35.7, 32.7, 35.5, 33.4, 34.9, 32.4, 1.7, 1.5, nan, nan, nan, nan, 3560.0, 522.7 ms
201123_101343.513813, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 70.8, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 250.0, 5.0, 0.0, 0.0, 50.0, 49.0, 52.0, 43.0, 28.0, 26.0, 35.5, 32.7, 35.4, 33.4, 34.9, 32.2, 1.7, 1.5, nan, nan, nan, nan, 3540.0, 655.0 ms
201123_101344.402051, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 70.8, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 250.0, 5.0, 0.0, 0.0, 50.0, 50.0, 50.0, 42.0, 28.0, 26.0, 35.7, 32.5, 35.5, 33.2, 34.9, 32.2, 1.7, 1.5, nan, nan, nan, nan, 3540.0, 533.5 ms
201123_101345.460947, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 71.0, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 250.0, 5.0, 0.0, 0.0, 50.0, 50.0, 53.0, 42.0, 28.0, 26.0, 35.5, 32.7, 35.4, 33.4, 34.7, 32.2, 1.7, 1.5, nan, nan, nan, nan, 3550.0, 578.2 ms
201123_101346.421744, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 71.0, 0.0, 24.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 250.0, 5.0, 0.0, 0.0, 50.0, 50.0, 51.0, 43.0, 28.0, 26.0, 35.5, 32.5, 35.5, 33.2, 34.9, 32.2, 1.7, 1.5, nan, nan, nan, nan, 3550.0, 523.5 ms
201123_101347.565068, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 70.8, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 250.0, 5.0, 0.0, 0.0, 50.0, 50.0, 52.0, 42.0, 28.0, 26.0, 35.7, 32.7, 35.5, 33.2, 34.9, 32.4, 1.7, 1.5, nan, nan, nan, nan, 3540.0, 661.0 ms
201123_101348.446183, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 70.8, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 250.0, 5.0, 0.0, 0.0, 50.0, 50.0, 52.0, 41.0, 28.0, 26.0, 35.5, 32.7, 35.4, 33.4, 34.9, 32.4, 1.7, 1.5, nan, nan, nan, nan, 3540.0, 536.8 ms
201123_101349.509499, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 71.0, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 250.0, 5.0, 0.0, 0.0, 50.0, 50.0, 52.0, 42.0, 28.0, 26.0, 35.5, 32.7, 35.4, 33.4, 34.9, 32.2, 1.7, 1.5, nan, nan, nan, nan, 3550.0, 597.4 ms
201123_101350.472423, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 70.8, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 250.0, 5.0, 0.0, 0.0, 50.0, 50.0, 52.0, 42.0, 28.0, 26.0, 35.5, 32.7, 35.5, 33.4, 34.9, 32.4, 1.7, 1.5, nan, nan, nan, nan, 3540.0, 558.2 ms
201123_101351.618163, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 71.0, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 250.0, 5.0, 0.0, 0.0, 49.0, 50.0, 48.0, 41.0, 25.0, 26.0, 35.5, 32.7, 35.4, 33.4, 34.7, 32.4, 1.7, 1.5, nan, nan, nan, nan, 3550.0, 701.2 ms
201123_101352.497224, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 71.0, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 250.0, 5.0, 0.0, 0.0, 50.0, 50.0, 52.0, 42.0, 28.0, 26.0, 35.7, 32.7, 35.5, 33.4, 34.9, 32.2, 1.7, 1.5, nan, nan, nan, nan, 3550.0, 574.1 ms
201123_101353.459145, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 71.0, 0.0, 24.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 250.0, 5.0, 0.0, 0.0, 50.0, 50.0, 52.0, 44.0, 28.0, 26.0, 35.7, 32.7, 35.5, 33.4, 34.9, 32.4, 1.7, 1.5, nan, nan, nan, nan, 3550.0, 532.2 ms
