YYMMDD_HHMMSS.ssssss, StsCarrier, StsOverdrive, StsVSWR, StsVolatge, StsRfIn, StsTemp, StsAGC, MeasuredFWD, MeasuredRFL, MeasuredVolts, MeasuredRfIn, measuredtemp, AGCSetPt, Attenuation, VSWRTripPt, StsCarrierPA1, StsOverdrivePA1, StsVSWRPA1, StsVolatgePA1, StsRfInPA1, StsTempPA1, StsCarrierPA2, StsOverdrivePA2, StsVSWRPA2, StsVolatgePA2, StsRfInPA2, StsTempPA2, MeasuredFWDPA1, MeasuredFWDPA2, MeasuredRFLPA1, MeasuredRFLPA2, MeasuredVoltsPA1, MeasuredVoltsPA2, MeasuredRfInPA1, MeasuredRfInPA2, measuredtempPA1, measuredtempPA2, MeasuredFnl1PA1, MeasuredFnl1PA2, MeasuredFnl2PA1, MeasuredFnl2PA2, MeasuredFnl3PA1, MeasuredFnl3PA2, MeasuredDrv1PA1, MeasuredDrv1PA2, CurrentDrv1, CurrentFnl1, CurrentFnl2, CurrentFnl3, MeasuredFWDWatts, 
201123_092518.288279, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 73.5, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 252.0, 7.0, 0.0, 0.0, 50.0, 49.0, 51.0, 42.0, 25.0, 26.0, 36.0, 33.5, 36.0, 34.2, 35.2, 33.0, 1.7, 1.5, nan, nan, nan, nan, 3675.0, 617.7 ms
201123_092519.253522, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 73.5, 0.0, 24.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 252.0, 8.0, 0.0, 0.0, 50.0, 50.0, 51.0, 44.0, 25.0, 26.0, 36.2, 33.5, 36.0, 34.2, 35.4, 33.0, 1.7, 1.5, nan, nan, nan, nan, 3675.0, 585.6 ms
201123_092520.204723, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 73.2, 0.0, 24.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 252.0, 7.0, 0.0, 0.0, 50.0, 49.0, 50.0, 44.0, 25.0, 26.0, 36.0, 33.5, 36.0, 34.2, 35.4, 33.0, 1.7, 1.5, nan, nan, nan, nan, 3660.0, 524.3 ms
201123_092521.270884, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 73.2, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 252.0, 8.0, 0.0, 0.0, 50.0, 50.0, 52.0, 42.0, 25.0, 26.0, 36.0, 33.5, 36.0, 34.2, 35.4, 33.0, 1.7, 1.5, nan, nan, nan, nan, 3660.0, 582.6 ms
201123_092522.229137, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 73.3, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 252.0, 7.0, 0.0, 0.0, 50.0, 50.0, 52.0, 42.0, 25.0, 26.0, 36.2, 33.5, 36.0, 34.2, 35.4, 33.0, 1.7, 1.5, nan, nan, nan, nan, 3665.0, 530.3 ms
201123_092523.300323, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 73.2, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 252.0, 7.0, 0.0, 0.0, 50.0, 50.0, 52.0, 42.0, 25.0, 26.0, 36.0, 33.5, 36.0, 34.2, 35.4, 33.0, 1.7, 1.5, nan, nan, nan, nan, 3660.0, 602.6 ms
201123_092524.255571, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 73.3, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 252.0, 7.0, 0.0, 0.0, 50.0, 50.0, 48.0, 42.0, 25.0, 26.0, 36.2, 33.5, 36.0, 34.2, 35.4, 33.0, 1.7, 1.5, nan, nan, nan, nan, 3665.0, 548.6 ms
201123_092525.401130, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 73.2, 0.0, 24.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 252.0, 7.0, 0.0, 0.0, 50.0, 50.0, 51.0, 42.0, 25.0, 26.0, 36.2, 33.4, 36.0, 34.2, 35.4, 33.0, 1.7, 1.5, nan, nan, nan, nan, 3660.0, 691.1 ms
201123_092526.281817, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 73.2, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 252.0, 8.0, 0.0, 0.0, 50.0, 50.0, 49.0, 43.0, 25.0, 26.0, 36.0, 33.4, 36.0, 34.2, 35.4, 33.0, 1.7, 1.5, nan, nan, nan, nan, 3660.0, 567.3 ms
201123_092527.244937, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 73.3, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 252.0, 8.0, 0.0, 0.0, 50.0, 50.0, 52.0, 41.0, 25.0, 26.0, 36.2, 33.5, 36.0, 34.2, 35.4, 33.0, 1.7, 1.5, nan, nan, nan, nan, 3665.0, 527.2 ms
