YYMMDD_HHMMSS.ssssss, StsCarrier, StsOverdrive, StsVSWR, StsVolatge, StsRfIn, StsTemp, StsAGC, MeasuredFWD, MeasuredRFL, MeasuredVolts, MeasuredRfIn, measuredtemp, AGCSetPt, Attenuation, VSWRTripPt, StsCarrierPA1, StsOverdrivePA1, StsVSWRPA1, StsVolatgePA1, StsRfInPA1, StsTempPA1, StsCarrierPA2, StsOverdrivePA2, StsVSWRPA2, StsVolatgePA2, StsRfInPA2, StsTempPA2, MeasuredFWDPA1, MeasuredFWDPA2, MeasuredRFLPA1, MeasuredRFLPA2, MeasuredVoltsPA1, MeasuredVoltsPA2, MeasuredRfInPA1, MeasuredRfInPA2, measuredtempPA1, measuredtempPA2, MeasuredFnl1PA1, MeasuredFnl1PA2, MeasuredFnl2PA1, MeasuredFnl2PA2, MeasuredFnl3PA1, MeasuredFnl3PA2, MeasuredDrv1PA1, MeasuredDrv1PA2, CurrentDrv1, CurrentFnl1, CurrentFnl2, CurrentFnl3, MeasuredFWDWatts, 
201123_094149.599681, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.4, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 7.0, 0.0, 0.0, 50.0, 50.0, 51.0, 42.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3620.0, 601.6 ms
201123_094150.557119, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.6, 0.0, 24.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 7.0, 0.0, 0.0, 50.0, 50.0, 49.0, 43.0, 25.0, 26.0, 36.0, 33.2, 35.7, 33.9, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3630.0, 556.9 ms
201123_094151.621647, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.4, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 7.0, 0.0, 0.0, 50.0, 50.0, 52.0, 42.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3620.0, 615.9 ms
201123_094152.583014, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.4, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 7.0, 0.0, 0.0, 50.0, 50.0, 48.0, 42.0, 25.0, 26.0, 36.0, 33.2, 35.7, 33.9, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3620.0, 568.7 ms
201123_094153.727211, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.2, 0.0, 24.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 6.0, 0.0, 0.0, 50.0, 50.0, 51.0, 41.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3610.0, 713.4 ms
201123_094154.607486, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.6, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 6.0, 0.0, 0.0, 50.0, 50.0, 48.0, 42.0, 25.0, 26.0, 36.0, 33.2, 35.7, 33.9, 35.0, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3630.0, 587.6 ms
201123_094155.571984, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.4, 0.0, 24.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 6.0, 0.0, 0.0, 50.0, 50.0, 51.0, 42.0, 25.0, 26.0, 36.0, 33.2, 35.7, 33.9, 35.0, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3620.0, 552.3 ms
201123_094156.879362, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.4, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 6.0, 0.0, 0.0, 50.0, 50.0, 52.0, 42.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3620.0, 843.2 ms
201123_094157.781401, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.6, 0.0, 24.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 7.0, 0.0, 0.0, 50.0, 50.0, 51.0, 42.0, 25.0, 26.0, 36.0, 33.2, 35.7, 33.9, 35.0, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3630.0, 742.9 ms
201123_094158.658910, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.4, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 6.0, 0.0, 0.0, 50.0, 50.0, 51.0, 43.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3620.0, 614.8 ms
201123_094159.621307, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.6, 0.0, 24.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 7.0, 0.0, 0.0, 50.0, 50.0, 51.0, 39.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3630.0, 560.3 ms
