YYMMDD_HHMMSS.ssssss, StsCarrier, StsOverdrive, StsVSWR, StsVolatge, StsRfIn, StsTemp, StsAGC, MeasuredFWD, MeasuredRFL, MeasuredVolts, MeasuredRfIn, measuredtemp, AGCSetPt, Attenuation, VSWRTripPt, StsCarrierPA1, StsOverdrivePA1, StsVSWRPA1, StsVolatgePA1, StsRfInPA1, StsTempPA1, StsCarrierPA2, StsOverdrivePA2, StsVSWRPA2, StsVolatgePA2, StsRfInPA2, StsTempPA2, MeasuredFWDPA1, MeasuredFWDPA2, MeasuredRFLPA1, MeasuredRFLPA2, MeasuredVoltsPA1, MeasuredVoltsPA2, MeasuredRfInPA1, MeasuredRfInPA2, measuredtempPA1, measuredtempPA2, MeasuredFnl1PA1, MeasuredFnl1PA2, MeasuredFnl2PA1, MeasuredFnl2PA2, MeasuredFnl3PA1, MeasuredFnl3PA2, MeasuredDrv1PA1, MeasuredDrv1PA2, CurrentDrv1, CurrentFnl1, CurrentFnl2, CurrentFnl3, MeasuredFWDWatts, 
201123_093858.526255, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.6, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 252.0, 7.0, 0.0, 0.0, 50.0, 50.0, 53.0, 42.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 33.0, 1.7, 1.5, nan, nan, nan, nan, 3630.0, 607.2 ms
201123_093859.478065, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 73.0, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 7.0, 0.0, 0.0, 50.0, 50.0, 51.0, 43.0, 25.0, 26.0, 36.0, 33.2, 36.0, 34.0, 35.2, 33.0, 1.7, 1.5, nan, nan, nan, nan, 3650.0, 550.6 ms
201123_093900.545261, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.6, 0.0, 24.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 252.0, 7.0, 0.0, 0.0, 50.0, 50.0, 52.0, 43.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3630.0, 609.2 ms
201123_093901.504645, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 73.0, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 252.0, 7.0, 0.0, 0.0, 50.0, 50.0, 52.0, 42.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 33.0, 1.7, 1.5, nan, nan, nan, nan, 3650.0, 560.6 ms
201123_093902.561322, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 73.0, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 7.0, 0.0, 0.0, 50.0, 50.0, 51.0, 42.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3650.0, 620.9 ms
201123_093903.530459, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.8, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 252.0, 7.0, 0.0, 0.0, 50.0, 50.0, 48.0, 39.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3640.0, 582.5 ms
201123_093904.676322, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.4, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 252.0, 7.0, 0.0, 0.0, 50.0, 49.0, 51.0, 42.0, 25.0, 26.0, 36.0, 33.2, 36.0, 34.0, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3620.0, 724.4 ms
201123_093905.641042, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 73.0, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 7.0, 0.0, 0.0, 50.0, 50.0, 51.0, 42.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3650.0, 682.2 ms
201123_093906.703726, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.8, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 7.0, 0.0, 0.0, 50.0, 50.0, 51.0, 42.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 33.0, 1.7, 1.5, nan, nan, nan, nan, 3640.0, 733.0 ms
201123_093907.588819, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.6, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 7.0, 0.0, 0.0, 49.0, 49.0, 52.0, 41.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 33.0, 1.7, 1.5, nan, nan, nan, nan, 3630.0, 610.5 ms
