YYMMDD_HHMMSS.ssssss, StsCarrier, StsOverdrive, StsVSWR, StsVolatge, StsRfIn, StsTemp, StsAGC, MeasuredFWD, MeasuredRFL, MeasuredVolts, MeasuredRfIn, measuredtemp, AGCSetPt, Attenuation, VSWRTripPt, StsCarrierPA1, StsOverdrivePA1, StsVSWRPA1, StsVolatgePA1, StsRfInPA1, StsTempPA1, StsCarrierPA2, StsOverdrivePA2, StsVSWRPA2, StsVolatgePA2, StsRfInPA2, StsTempPA2, MeasuredFWDPA1, MeasuredFWDPA2, MeasuredRFLPA1, MeasuredRFLPA2, MeasuredVoltsPA1, MeasuredVoltsPA2, MeasuredRfInPA1, MeasuredRfInPA2, measuredtempPA1, measuredtempPA2, MeasuredFnl1PA1, MeasuredFnl1PA2, MeasuredFnl2PA1, MeasuredFnl2PA2, MeasuredFnl3PA1, MeasuredFnl3PA2, MeasuredDrv1PA1, MeasuredDrv1PA2, CurrentDrv1, CurrentFnl1, CurrentFnl2, CurrentFnl3, MeasuredFWDWatts, 
201123_094316.111862, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.8, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 7.0, 0.0, 0.0, 50.0, 50.0, 51.0, 39.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3640.0, 557.7 ms
201123_094317.175167, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.4, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 7.0, 0.0, 0.0, 50.0, 50.0, 51.0, 42.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3620.0, 610.4 ms
201123_094318.238832, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.6, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 7.0, 0.0, 0.0, 50.0, 50.0, 52.0, 40.0, 25.0, 26.0, 36.0, 33.2, 35.7, 33.9, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3630.0, 665.7 ms
201123_094319.196939, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.8, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 252.0, 7.0, 0.0, 0.0, 50.0, 50.0, 53.0, 41.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3640.0, 615.2 ms
201123_094321.396929, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 73.0, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 7.0, 0.0, 0.0, 50.0, 50.0, 51.0, 43.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3650.0, 803.1 ms
201123_094322.167090, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.6, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 7.0, 0.0, 0.0, 50.0, 50.0, 49.0, 39.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3630.0, 567.7 ms
201123_094323.308353, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.6, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 6.0, 0.0, 0.0, 50.0, 50.0, 52.0, 42.0, 25.0, 26.0, 36.0, 33.2, 35.7, 33.9, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3630.0, 704.9 ms
201123_094324.187013, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.4, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 7.0, 0.0, 0.0, 50.0, 50.0, 51.0, 42.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3620.0, 569.5 ms
201123_094325.260361, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.8, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 252.0, 7.0, 0.0, 0.0, 50.0, 50.0, 52.0, 44.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3640.0, 640.5 ms
201123_094326.219328, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 72.4, 0.0, 23.0, 193.0, 0.0, 100.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 251.0, 7.0, 0.0, 0.0, 50.0, 50.0, 53.0, 41.0, 25.0, 26.0, 36.0, 33.2, 35.7, 34.0, 35.2, 32.7, 1.7, 1.5, nan, nan, nan, nan, 3620.0, 583.4 ms
