EC_Setpoint: 0.3300, EC_Read: -0.6800, IR_Temp: 1737.8621, VA_Temp: 0.0000
V0_Set: 5.0042, V0_Read 6.8647, Pulse_Bool: 1.0000, Rise_Threshold: 0.0000
Cathode Voltage: 0.0000, Cathode Current: 0.0000, Cathode Impedance: 0.0000, Cathode Power: 0.0000
Cu Gun Pf: 2149.3716, Cu Gun Pr: 375.3589, Cu Gun Pt: 6.2042, Cu Gun V: 127.2714
BH Pf: 99.8538, BH Pr: 3.6367, BH Pt: -4.9860, Pulse Frequency: 0.0000
SRF Pf: 39.5880, SRF Pr: 37.9169, SRF Pt: -38.1818, Pulse Duty: 0.0000
WF6H (A), WF7H(A), WF6V(A), WF7V(A), Avg'd Emitted Current(mA), Avg'd Loop Mid(mA), Avg'd Loop Bypass(mA), Cu Gun (kV), SRF Pt (dBm)
0.0, 0.0, 0.0, 0.0, -0.7863585520675406, 0.000238040741533041, 0.00014038300141692162, 127.45787811279297, -37.727272033691406
0.0, 0.0, 0.0, 0.0, -0.6523233843618073, 0.000238040741533041, 0.0001281757839024067, 127.36461639404297, -36.818180084228516
0.0, 0.0, 0.0, 0.0, -0.6658979645580985, 0.0002868696115911007, 0.00014038300141692162, 127.31800842285156, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.853693503094837, 0.0002990768291056156, 0.00014038300141692162, 127.45787811279297, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.743486830308102, 0.000238040741533041, 0.00016479743644595146, 127.41123962402344, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.990072456074413, 0.0002990768291056156, 0.00016479743644595146, 127.27141571044922, -36.818180084228516
0.0, 0.0, 0.0, 0.0, -0.7002244612248615, 0.00025024795904755593, 0.00016479743644595146, 127.41123962402344, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.6599893854185939, 0.0002624551765620708, 0.00014038300141692162, 127.41123962402344, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.7842589833494276, 0.000238040741533041, 0.0001281757839024067, 127.41123962402344, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.642411122370977, 0.00032349126413464544, 0.00016479743644595146, 127.41123962402344, -37.727272033691406
