EC_Setpoint: 0.0000, EC_Read: -0.0004, IR_Temp: 1468.5927, VA_Temp: 127.1402, WF1H: 0.000, WF1V: 0.000
V0_Set: 0.0000, V0_Read -0.0006, Pulse_Bool: 0.0000, Rise_Threshold: 0.0000, WF2H: 0.000, WF2V: 0.000
Cathode Voltage: 0.0326, Cathode Current: 0.0066, Cathode Impedance: 4.9813, Cathode Power: 0.0002, WF3H: 0.000, WF3V: 0.000
Cu Gun Pf: 0.0000, Cu Gun Pr: 0.1457, Cu Gun Pt: -45.7350, Cu Gun V: 0.3223, WF4H: 0.000, WF4V: 0.000
BH Pf: 0.0000, BH Pr: 0.0101, BH Pt: -42.7976, Pulse Frequency: 0.0000, WF5H: 0.000, WF5V: 0.000
SRF Pf: 42.5366, SRF Pr: 40.6453, SRF Pt: -36.8182, Pulse Duty: 0.0000, DP1: 0.000, DP2: 0.000
Sol 1: 0.000, Sol2: 0.000, Sol3: 0.000, Cu Gun T: 24.6885, BH OC T: 26.3760, DBA CHWS: 23.4972
WF6H (A), WF7H(A), WF6V(A), WF7V(A), Avg'd Emitted Current(mA), Avg'd Loop Mid(mA), Avg'd Loop Bypass(mA), Cu Gun (kV), SRF Pt (dBm)
0.0, 0.0, 0.0, 0.0, -0.0004882879671640694, 0.00015259021893143654, 0.00012207217514514923, 0.32228997349739075, -36.818180084228516
0.0, 0.0, 0.0, 0.0, -0.000488289725035429, 0.00027466239407658577, 0.00018310826271772385, 0.3224080502986908, -36.818180084228516
0.0, 0.0, 0.0, 0.0, -0.0006103592226281762, 0.00015259021893143654, 0.00015259021893143654, 0.32228997349739075, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.0004882894980255514, 0.0003356984816491604, 0.00015259021893143654, 0.32323503494262695, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.0006103591935243457, 0.00021362630650401115, 0.00015259021893143654, 0.32228997349739075, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.0003662159782834351, 0.00018310826271772385, 0.00012207217514514923, 0.32228997349739075, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.00036621637409552934, 0.00018310826271772385, 0.00012207217514514923, 0.3224080502986908, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.000610360992141068, 0.0003051804378628731, 0.00015259021893143654, 0.3221721053123474, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.0004882874141912908, 0.00012207217514514923, 0.00018310826271772385, 0.3224080502986908, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.0006103614578023553, 0.0004272526130080223, 0.00018310826271772385, 0.3221721053123474, -36.818180084228516
0.0, 0.0, 0.0, 0.0, -0.0006103599502239376, 0.00018310826271772385, 0.00015259021893143654, 0.3225260376930237, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.0004882887587882578, 0.0003051804378628731, 0.00015259021893143654, 0.3224080502986908, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.00012207216932438313, 0.00024414435029029846, 0.00018310826271772385, 0.3224080502986908, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.0006103613355662674, 0.0003662165254354477, 6.103608757257462e-05, 0.32228997349739075, -36.818180084228516
0.0, 0.0, 0.0, 0.0, -0.0006103607243858278, 0.00018310826271772385, 0.00018310826271772385, 0.3224080502986908, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.0004882880253717303, 0.00018310826271772385, 0.00015259021893143654, 0.32228997349739075, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.0006103615509346127, 0.00027466239407658577, 0.00018310826271772385, 0.32228997349739075, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.00036621697363443674, 0.0003051804378628731, 0.00015259021893143654, 0.32276225090026855, -36.818180084228516
0.0, 0.0, 0.0, 0.0, -0.0006103594379965216, 0.00021362630650401115, 0.00015259021893143654, 0.3224080502986908, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.0004882895213086158, 0.0003051804378628731, 0.00018310826271772385, 0.32228997349739075, -37.272727966308594
0.0, 0.0, 0.0, 0.0, 5.820766091346741e-10, 0.00018310826271772385, 0.00018310826271772385, 0.3224080502986908, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.00012207189574837686, 0.0003051804378628731, 0.00018310826271772385, 0.32228997349739075, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.0004882891895249486, 0.0003662165254354477, 0.00015259021893143654, 0.32228997349739075, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.0003662150527816266, 0.00018310826271772385, 0.00012207217514514923, 0.3224080502986908, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.0003662166709546, 0.0003051804378628731, 0.00012207217514514923, 0.32228997349739075, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.0004882886889390648, 0.0003051804378628731, 0.00015259021893143654, 0.3224080502986908, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.00036621533799916504, 0.00012207217514514923, 0.00015259021893143654, 0.32299861311912537, -36.818180084228516
0.0, 0.0, 0.0, 0.0, -0.0004882886074483395, 0.00024414435029029846, 0.00021362630650401115, 0.32228997349739075, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.0004882882640231401, 0.00027466239407658577, 0.00012207217514514923, 0.3225260376930237, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.0004882879147771746, 0.00024414435029029846, 0.00018310826271772385, 0.32228997349739075, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.0004882893699686974, 0.0003051804378628731, 0.00015259021893143654, 0.3225260376930237, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.0006103603809606284, 0.00012207217514514923, 0.00015259021893143654, 0.3224080502986908, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.00036621639737859367, 0.00021362630650401115, 0.00015259021893143654, 0.3224080502986908, -36.818180084228516
0.0, 0.0, 0.0, 0.0, -0.0006103611493017524, 0.00027466239407658577, 0.00018310826271772385, 0.3225260376930237, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.0006103595544118435, 0.00021362630650401115, 0.00012207217514514923, 0.3224080502986908, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.000122072477824986, 0.00027466239407658577, 0.00015259021893143654, 0.3225260376930237, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.0006103593448642641, 0.00015259021893143654, 0.00015259021893143654, 0.3224080502986908, -36.818180084228516
0.0, 0.0, 0.0, 0.0, -0.00036621720064431427, 0.0003356984816491604, 0.00015259021893143654, 0.32228997349739075, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.00036621521576307714, 0.00021362630650401115, 9.155413135886192e-05, 0.3224080502986908, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.000366216927068308, 0.0003051804378628731, 0.00015259021893143654, 0.3224080502986908, -36.818180084228516
0.0, 0.0, 0.0, 0.0, -0.0006103595835156739, 0.00018310826271772385, 0.00015259021893143654, 0.3221721053123474, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.0006103603169322014, 0.00024414435029029846, 0.00018310826271772385, 0.3226441740989685, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.00012207282125018538, 0.0003051804378628731, 0.00021362630650401115, 0.3224080502986908, -37.272727966308594
0.0, 0.0, 0.0, 0.0, -0.00012207104591652752, 0.00018310826271772385, 0.00015259021893143654, 0.32228997349739075, -36.818180084228516
