0.492, 0.0002
0.491, 0.0001
0.49, 0.0001
0.489, 0.0001
0.488, 0.0001
0.487, 0.0001
0.486, 0.0001
0.485, 0.0001
0.484, 0.0
0.483, -0.0078
0.482, -0.0448
0.481, -0.0865
0.48, -0.1078
0.479, -0.1266
0.478, -0.1381
0.477, -0.1478
0.476, -0.1603
0.475, -0.1651
0.474, -0.1736
0.473, -0.181
0.472, -0.1867
0.471, -0.1952
0.47, -0.2005
0.469, -0.2063
0.468, -0.2124
0.467, -0.2169
0.466, -0.2226
0.465, -0.2287
0.464, -0.2331
0.463, -0.2381
0.462, -0.2416
0.461, -0.2458
0.46, -0.2504
0.459, -0.2548
0.458, -0.2586
0.457, -0.2625
0.456, -0.2663
0.455, -0.2697
0.454, -0.273
0.453, -0.2766
0.452, -0.2794
0.451, -0.2827
0.45, -0.2869
0.449, -0.2901
0.448, -0.2936
0.447, -0.2967
0.446, -0.2987
0.445, -0.3008
0.444, -0.3043
0.443, -0.3077
0.442, -0.3112
0.441, -0.3134
0.44, -0.3163
0.439, -0.3186
0.438, -0.3213
0.437, -0.3235
0.436, -0.3263
0.435, -0.3283
0.434, -0.3305
0.433, -0.334
0.432, -0.3355
0.431, -0.3242
0.43, -0.2784
0.429, -0.2479
0.428, -0.2234
0.427, -0.2124
0.426, -0.2024
0.425, -0.1933
0.424, -0.187
0.423, -0.1796
0.422, -0.1737
0.421, -0.1686
0.42, -0.1637
0.419, -0.16
0.418, -0.1552
0.417, -0.1509
0.416, -0.1469
0.415, -0.1432
0.414, -0.1402
0.413, -0.1373
0.412, -0.1349
0.411, -0.1319
0.41, -0.1294
0.41, -0.1292
0.411, -0.1312
0.412, -0.1344
0.413, -0.1368
0.414, -0.1395
0.415, -0.1427
0.416, -0.1458
0.417, -0.149
0.418, -0.1538
0.419, -0.1582
0.42, -0.1617
0.421, -0.1664
0.422, -0.1711
0.423, -0.1769
0.424, -0.1834
0.425, -0.1892
0.426, -0.1984
0.427, -0.2077
0.428, -0.215
0.429, -0.2298
0.43, -0.2519
0.431, -0.2952
0.432, -0.3298
0.433, -0.3352
0.434, -0.3325
0.435, -0.3304
0.436, -0.328
0.437, -0.3254
0.438, -0.3231
0.439, -0.322
0.44, -0.3188
0.441, -0.3151
0.442, -0.3117
0.443, -0.3096
0.444, -0.3077
0.445, -0.3048
0.446, -0.3019
0.447, -0.298
0.448, -0.2942
0.449, -0.2921
0.45, -0.2886
0.451, -0.2856
0.452, -0.2831
0.453, -0.2799
0.454, -0.2771
0.455, -0.2732
0.456, -0.2692
0.457, -0.2669
0.458, -0.2632
0.459, -0.2584
0.46, -0.2545
0.461, -0.251
0.462, -0.2458
0.463, -0.2415
0.464, -0.2378
0.465, -0.2339
0.466, -0.228
0.467, -0.2217
0.468, -0.2182
0.469, -0.2127
0.47, -0.2054
0.471, -0.2
0.472, -0.1963
0.473, -0.1897
0.474, -0.1824
0.475, -0.1742
0.476, -0.1656
0.477, -0.1537
0.478, -0.1458
0.479, -0.1361
0.48, -0.1232
0.481, -0.1113
0.482, -0.0825
0.483, -0.0354
0.484, -0.0069
0.485, -0.0002
0.486, 0.0001
0.487, 0.0001
0.488, 0.0002
0.489, 0.0002
0.49, 0.0001
0.491, 0.0002
0.492, 0.0001
